Venue,Opponent,Team,Time,predicted_result
Home,Wolves,Arsenal,15:00,W
Away,Aston Villa,Arsenal,17:30,W
Home,Brighton,Arsenal,12:30,W
Away,Tottenham,Arsenal,14:00,W
Away,Manchester City,Arsenal,16:30,W
Home,Leicester City,Arsenal,15:00,W
Home,Southampton,Arsenal,15:00,W
Away,Bournemouth,Arsenal,15:00,W
Home,Liverpool,Arsenal,15:00,W
Away,Newcastle Utd,Arsenal,15:00,W
Away,Chelsea,Arsenal,15:00,W
Home,Nott'ham Forest,Arsenal,15:00,W
Away,West Ham,Arsenal,15:00,W
Home,Manchester Utd,Arsenal,19:45,W
Away,Fulham,Arsenal,15:00,W
Home,Everton,Arsenal,15:00,W
Away,Crystal Palace,Arsenal,15:00,W
Home,Ipswich Town,Arsenal,15:00,W
Away,Brentford,Arsenal,15:00,W
Away,Brighton,Arsenal,15:00,W
Home,Tottenham,Arsenal,19:45,W
Home,Aston Villa,Arsenal,15:00,W
Away,Wolves,Arsenal,15:00,W
Home,Manchester City,Arsenal,15:00,W
Away,Leicester City,Arsenal,15:00,W
Home,West Ham,Arsenal,15:00,W
Away,Nott'ham Forest,Arsenal,19:45,W
Away,Manchester Utd,Arsenal,15:00,W
Home,Chelsea,Arsenal,15:00,W
Home,Fulham,Arsenal,19:45,W
Away,Everton,Arsenal,15:00,W
Home,Brentford,Arsenal,15:00,W
Away,Ipswich Town,Arsenal,15:00,W
Home,Crystal Palace,Arsenal,15:00,W
Home,Bournemouth,Arsenal,15:00,W
Away,Liverpool,Arsenal,15:00,W
Home,Newcastle Utd,Arsenal,15:00,W
Away,Southampton,Arsenal,16:00,W
Away,West Ham,Aston Villa,17:30,L
Home,Arsenal,Aston Villa,17:30,L
Away,Leicester City,Aston Villa,15:00,L
Home,Everton,Aston Villa,17:30,L
Home,Wolves,Aston Villa,15:00,W
Away,Ipswich Town,Aston Villa,14:00,L
Home,Manchester Utd,Aston Villa,15:00,L
Away,Fulham,Aston Villa,15:00,L
Home,Bournemouth,Aston Villa,15:00,L
Away,Tottenham,Aston Villa,15:00,L
Away,Liverpool,Aston Villa,15:00,L
Home,Crystal Palace,Aston Villa,15:00,D
Away,Chelsea,Aston Villa,15:00,L
Home,Brentford,Aston Villa,19:45,L
Home,Southampton,Aston Villa,15:00,W
Away,Nott'ham Forest,Aston Villa,15:00,L
Home,Manchester City,Aston Villa,15:00,L
Away,Newcastle Utd,Aston Villa,15:00,L
Home,Brighton,Aston Villa,15:00,D
Home,Leicester City,Aston Villa,15:00,D
Away,Everton,Aston Villa,19:45,L
Away,Arsenal,Aston Villa,15:00,L
Home,West Ham,Aston Villa,15:00,W
Away,Wolves,Aston Villa,15:00,L
Home,Ipswich Town,Aston Villa,15:00,D
Home,Chelsea,Aston Villa,15:00,D
Away,Crystal Palace,Aston Villa,20:00,L
Away,Brentford,Aston Villa,15:00,L
Home,Liverpool,Aston Villa,15:00,D
Away,Brighton,Aston Villa,19:45,L
Home,Nott'ham Forest,Aston Villa,15:00,W
Away,Southampton,Aston Villa,15:00,L
Home,Newcastle Utd,Aston Villa,15:00,W
Away,Manchester City,Aston Villa,15:00,L
Home,Fulham,Aston Villa,15:00,D
Away,Bournemouth,Aston Villa,15:00,L
Home,Tottenham,Aston Villa,15:00,W
Away,Manchester Utd,Aston Villa,16:00,D
Away,Nott'ham Forest,Bournemouth,15:00,L
Home,Newcastle Utd,Bournemouth,14:00,L
Away,Everton,Bournemouth,15:00,W
Home,Chelsea,Bournemouth,20:00,W
Away,Liverpool,Bournemouth,15:00,L
Home,Southampton,Bournemouth,20:00,D
Away,Leicester City,Bournemouth,15:00,L
Home,Arsenal,Bournemouth,15:00,W
Away,Aston Villa,Bournemouth,15:00,L
Home,Manchester City,Bournemouth,15:00,L
Away,Brentford,Bournemouth,15:00,W
Home,Brighton,Bournemouth,15:00,W
Away,Wolves,Bournemouth,15:00,L
Home,Tottenham,Bournemouth,19:45,W
Away,Ipswich Town,Bournemouth,15:00,L
Home,West Ham,Bournemouth,15:00,W
Away,Manchester Utd,Bournemouth,15:00,L
Home,Crystal Palace,Bournemouth,15:00,W
Away,Fulham,Bournemouth,15:00,L
